date,home_away,opponent,adelphi_score,opponent_score,result,attendance,team,year,game_of_the_season
11/12/2011,home,Bridgeport,72,67,W,,womens basketball,2011,1
11/16/2011,away,Southern Connecticut St.,61,69,L,,womens basketball,2011,2
11/19/2011,home,C.W. Post,59,64,L,,womens basketball,2011,3
11/22/2011,away,New Haven,62,56,W,,womens basketball,2011,4
11/27/2011,home,AIC,45,52,L,,womens basketball,2011,5
11/30/2011,home,Saint Rose,43,57,L,,womens basketball,2011,6
12/3/2011,away,Assumption,72,75,L,,womens basketball,2011,7
12/6/2011,away,Pace,59,70,L,,womens basketball,2011,8
12/10/2011,home,Le Moyne,73,62,W,,womens basketball,2011,9
12/14/2011,home,Queens,61,59,W,,womens basketball,2011,10
12/18/2011,home,Eckerd College,57,68,L,,womens basketball,2011,11
1/3/2012,away,Merrimack,70,63,W,,womens basketball,2011,12
1/7/2012,home,Saint Michael's,60,58,W,,womens basketball,2011,13
1/11/2012,home,UMass Lowell,68,75,L,,womens basketball,2011,14
1/14/2012,away,Franklin Pierce,55,95,L,,womens basketball,2011,15
1/17/2012,away,Bentley,75,87,L,,womens basketball,2011,16
1/21/2012,home,Southern New Hampshire,74,81,L,,womens basketball,2011,17
1/25/2012,home,Stonehill,64,76,L,,womens basketball,2011,18
1/28/2012,away,Saint Anselm,45,46,L,,womens basketball,2011,19
1/31/2012,home,New Haven,86,83,W,,womens basketball,2011,20
2/4/2012,away,American Int'l,62,59,W,,womens basketball,2011,21
2/8/2012,away,Saint Rose,53,75,L,,womens basketball,2011,22
2/11/2012,home,Assumption,70,85,L,,womens basketball,2011,23
2/14/2012,home,Pace,51,69,L,,womens basketball,2011,24
2/18/2012,away,Le Moyne,65,64,W,,womens basketball,2011,25
2/21/2012,home,Southern Connecticut St.,64,78,L,,womens basketball,2011,26
11/10/2012,away,LIU Post,81,82,L,,womens basketball,2012,1
11/14/2012,away,Southern Connecticut State,72,63,W,,womens basketball,2012,2
11/20/2012,home,New Haven,77,79,L,,womens basketball,2012,3
11/25/2012,away,Mercy,88,65,W,,womens basketball,2012,4
11/28/2012,away,Saint Rose,80,67,W,,womens basketball,2012,5
12/1/2012,home,Assumption,66,58,W,,womens basketball,2012,6
12/4/2012,home,Pace,74,54,W,,womens basketball,2012,7
12/8/2012,away,Le Moyne,66,74,L,,womens basketball,2012,8
12/14/2012,home,Concordia,72,49,W,,womens basketball,2012,9
12/30/2012,away,Eckerd College,80,63,W,,womens basketball,2012,10
1/5/2013,away,American Int'l,77,73,W,,womens basketball,2012,11
1/9/2013,home,Merrimack,73,60,W,,womens basketball,2012,12
1/12/2013,away,Saint Michael's College,43,64,L,,womens basketball,2012,13
1/15/2013,away,UMass Lowell,73,87,L,,womens basketball,2012,14
1/19/2013,home,Franklin Pierce,71,73,L,,womens basketball,2012,15
1/23/2013,home,Bentley,53,66,L,,womens basketball,2012,16
1/26/2013,away,So. New Hampshire,56,76,L,,womens basketball,2012,17
1/29/2013,away,Stonehill College,69,82,L,,womens basketball,2012,18
2/2/2013,home,Saint Anselm,68,54,W,,womens basketball,2012,19
2/6/2013,away,New Haven,75,86,L,,womens basketball,2012,20
2/10/2013,home,American Int'l,68,59,W,,womens basketball,2012,21
2/13/2013,home,Saint Rose,77,67,W,,womens basketball,2012,22
2/16/2013,away,Assumption,68,77,L,,womens basketball,2012,23
2/20/2013,away,Pace,65,57,W,,womens basketball,2012,24
2/23/2013,home,Le Moyne,55,58,L,,womens basketball,2012,25
2/26/2013,away,Southern Connecticut State,64,49,W,,womens basketball,2012,26
3/1/2013,home,American Int'l,80,77,W,,womens basketball,2012,27
3/3/2013,away,Bentley,80,89,L,,womens basketball,2012,28
11/9/2013,home,Concordia College,112,46,W,,womens basketball,2013,1
11/15/2013,home,Chestnut Hill College,85,32,W,,womens basketball,2013,2
